api,family,method,http,path,operation_id,mutating,paging,deprecated,media_download,media_upload,scopes,narrowest_scope,summary
gmail,users.drafts,delete,DELETE,gmail/v1/users/{userId}/drafts/{id},gmail.users.drafts.delete,yes,,,,,https://mail.google.com/ gmail.addons.current.action.compose gmail.compose gmail.modify,https://www.googleapis.com/auth/gmail.compose,"Immediately and permanently deletes the specified draft. Does not simply trash it. For more information, see [Create and send draft emails](https://developers.google.com/workspace/gmail/api/guides/drafts)."
gmail,users.drafts,get,GET,gmail/v1/users/{userId}/drafts/{id},gmail.users.drafts.get,,,,,,https://mail.google.com/ gmail.compose gmail.modify gmail.readonly,https://www.googleapis.com/auth/gmail.readonly,"Gets the specified draft. For more information, see [Create and send draft emails](https://developers.google.com/workspace/gmail/api/guides/drafts)."
gmail,users.drafts,list,GET,gmail/v1/users/{userId}/drafts,gmail.users.drafts.list,,cursor,,,,https://mail.google.com/ gmail.compose gmail.modify gmail.readonly,https://www.googleapis.com/auth/gmail.readonly,"Lists the drafts in the user's mailbox. For more information, see [Create and send draft emails](https://developers.google.com/workspace/gmail/api/guides/drafts)."
gmail,users.drafts,send,POST,gmail/v1/users/{userId}/drafts/send,gmail.users.drafts.send,yes,,,,yes,https://mail.google.com/ gmail.addons.current.action.compose gmail.compose gmail.modify,https://www.googleapis.com/auth/gmail.compose,"Sends the specified, existing draft to the recipients in the `To`, `Cc`, and `Bcc` headers. For more information, see [Create and send draft emails](https://developers.google.com/workspace/gmail/api/guides/drafts)."
gmail,users.drafts,update,PUT,gmail/v1/users/{userId}/drafts/{id},gmail.users.drafts.update,yes,,,,yes,https://mail.google.com/ gmail.addons.current.action.compose gmail.compose gmail.modify,https://www.googleapis.com/auth/gmail.compose,"Replaces a draft's content. For more information, see [Create and send draft emails](https://developers.google.com/workspace/gmail/api/guides/drafts)."
gmail,users.history,list,GET,gmail/v1/users/{userId}/history,gmail.users.history.list,,cursor,,,,https://mail.google.com/ gmail.metadata gmail.modify gmail.readonly,https://www.googleapis.com/auth/gmail.metadata,"Lists the history of all changes to the given mailbox. History results are returned in chronological order (increasing `historyId`). For more information, see [Synchronize clients with Gmail](https://developers.google.com/workspace/gmail/api/guides/sync)."
gmail,users.labels,create,POST,gmail/v1/users/{userId}/labels,gmail.users.labels.create,yes,,,,,https://mail.google.com/ gmail.labels gmail.modify,https://www.googleapis.com/auth/gmail.labels,"Creates a label. For more information, see [Manage labels](https://developers.google.com/workspace/gmail/api/guides/labels)."
gmail,users.labels,delete,DELETE,gmail/v1/users/{userId}/labels/{id},gmail.users.labels.delete,yes,,,,,https://mail.google.com/ gmail.labels gmail.modify,https://www.googleapis.com/auth/gmail.labels,"Immediately and permanently deletes the specified label and removes it from any messages and threads that it's applied to. For more information, see [Manage labels](https://developers.google.com/workspace/gmail/api/guides/labels)."
gmail,users.labels,get,GET,gmail/v1/users/{userId}/labels/{id},gmail.users.labels.get,,,,,,https://mail.google.com/ gmail.labels gmail.metadata gmail.modify gmail.readonly,https://www.googleapis.com/auth/gmail.metadata,"Gets the specified label. For more information, see [Manage labels](https://developers.google.com/workspace/gmail/api/guides/labels)."
gmail,users.labels,list,GET,gmail/v1/users/{userId}/labels,gmail.users.labels.list,,,,,,https://mail.google.com/ gmail.labels gmail.metadata gmail.modify gmail.readonly,https://www.googleapis.com/auth/gmail.metadata,"Lists all labels in the user's mailbox. For more information, see [Manage labels](https://developers.google.com/workspace/gmail/api/guides/labels)."
gmail,users.labels,patch,PATCH,gmail/v1/users/{userId}/labels/{id},gmail.users.labels.patch,yes,,,,,https://mail.google.com/ gmail.labels gmail.modify,https://www.googleapis.com/auth/gmail.labels,"Patch the specified label. For more information, see [Manage labels](https://developers.google.com/workspace/gmail/api/guides/labels)."
gmail,users.labels,update,PUT,gmail/v1/users/{userId}/labels/{id},gmail.users.labels.update,yes,,,,,https://mail.google.com/ gmail.labels gmail.modify,https://www.googleapis.com/auth/gmail.labels,"Updates the specified label. For more information, see [Manage labels](https://developers.google.com/workspace/gmail/api/guides/labels)."
gmail,users.messages,batchDelete,POST,gmail/v1/users/{userId}/messages/batchDelete,gmail.users.messages.batchDelete,yes,,,,,https://mail.google.com/,https://mail.google.com/,Deletes many messages by message ID. Provides no guarantees that messages were not already deleted or even existed at all.
gmail,users.messages,batchModify,POST,gmail/v1/users/{userId}/messages/batchModify,gmail.users.messages.batchModify,yes,,,,,https://mail.google.com/ gmail.modify,https://www.googleapis.com/auth/gmail.modify,"Modifies the labels and the Classification Label values on the specified messages. For administrators modifying messages for users in their organization, requests require authorization with a [service account](https://developers.google.com/identity/protocols/OAuth2ServiceAccount) that has [domain-wi"
gmail,users.messages,delete,DELETE,gmail/v1/users/{userId}/messages/{id},gmail.users.messages.delete,yes,,,,,https://mail.google.com/,https://mail.google.com/,Immediately and permanently deletes the specified message. This operation cannot be undone. Prefer `messages.trash` instead.
gmail,users.messages,get,GET,gmail/v1/users/{userId}/messages/{id},gmail.users.messages.get,,,,,,https://mail.google.com/ gmail.addons.current.message.action gmail.addons.current.message.metadata gmail.addons.current.message.readonly gmail.metadata gmail.modify gmail.readonly,https://www.googleapis.com/auth/gmail.metadata,Gets the specified message.
gmail,users.messages,import,POST,gmail/v1/users/{userId}/messages/import,gmail.users.messages.import,yes,,,,yes,https://mail.google.com/ gmail.insert gmail.modify,https://www.googleapis.com/auth/gmail.insert,"Imports a message into only this user's mailbox, with standard email delivery scanning and classification similar to receiving via SMTP. This method doesn't perform SPF checks, so it might not work for some spam messages, such as those attempting to perform domain spoofing. This method does not send"
gmail,users.messages,insert,POST,gmail/v1/users/{userId}/messages,gmail.users.messages.insert,yes,,,,yes,https://mail.google.com/ gmail.insert gmail.modify,https://www.googleapis.com/auth/gmail.insert,"Directly inserts a message into only this user's mailbox similar to `IMAP APPEND`, bypassing most scanning and classification. Does not send a message. For more information, see [Create and send email messages](https://developers.google.com/workspace/gmail/api/guides/sending)."
gmail,users.messages,list,GET,gmail/v1/users/{userId}/messages,gmail.users.messages.list,,cursor,,,,https://mail.google.com/ gmail.metadata gmail.modify gmail.readonly,https://www.googleapis.com/auth/gmail.metadata,"Lists the messages in the user's mailbox. For more information, see [List Gmail messages](https://developers.google.com/workspace/gmail/api/guides/list-messages)."
gmail,users.messages,modify,POST,gmail/v1/users/{userId}/messages/{id}/modify,gmail.users.messages.modify,yes,,,,,https://mail.google.com/ gmail.modify,https://www.googleapis.com/auth/gmail.modify,"Modifies the labels and the Classification Label values on the specified message. For administrators modifying message for users in their organization, requests require authorization with a [service account](https://developers.google.com/identity/protocols/OAuth2ServiceAccount) that has [domain-wide"
gmail,users.messages,send,POST,gmail/v1/users/{userId}/messages/send,gmail.users.messages.send,yes,,,,yes,https://mail.google.com/ gmail.addons.current.action.compose gmail.compose gmail.modify gmail.send,https://www.googleapis.com/auth/gmail.send,"Sends the specified message to the recipients in the `To`, `Cc`, and `Bcc` headers. For more information, see [Create and send email messages](https://developers.google.com/workspace/gmail/api/guides/sending)."
gmail,users.messages,trash,POST,gmail/v1/users/{userId}/messages/{id}/trash,gmail.users.messages.trash,yes,,,,,https://mail.google.com/ gmail.modify,https://www.googleapis.com/auth/gmail.modify,Moves the specified message to the trash.
gmail,users.messages,untrash,POST,gmail/v1/users/{userId}/messages/{id}/untrash,gmail.users.messages.untrash,yes,,,,,https://mail.google.com/ gmail.modify,https://www.googleapis.com/auth/gmail.modify,Removes the specified message from the trash.
gmail,users.messages.attachments,get,GET,gmail/v1/users/{userId}/messages/{messageId}/attachments/{id},gmail.users.messages.attachments.get,,,,,,https://mail.google.com/ gmail.addons.current.message.action gmail.addons.current.message.readonly gmail.modify gmail.readonly,https://www.googleapis.com/auth/gmail.readonly,Gets the specified message attachment.
gmail,users.settings,getAutoForwarding,GET,gmail/v1/users/{userId}/settings/autoForwarding,gmail.users.settings.getAutoForwarding,,,,,,https://mail.google.com/ gmail.modify gmail.readonly gmail.settings.basic,https://www.googleapis.com/auth/gmail.readonly,"Gets the auto-forwarding setting for the specified account. For more information, see [Manage email forwarding](https://developers.google.com/workspace/gmail/api/guides/forwarding_settings)."
gmail,users.settings,getImap,GET,gmail/v1/users/{userId}/settings/imap,gmail.users.settings.getImap,,,,,,https://mail.google.com/ gmail.modify gmail.readonly gmail.settings.basic,https://www.googleapis.com/auth/gmail.readonly,"Gets IMAP settings. For more information, see [Configure POP and IMAP settings with the Gmail API](https://developers.google.com/workspace/gmail/api/guides/pop_imap_settings)."
gmail,users.settings,getLanguage,GET,gmail/v1/users/{userId}/settings/language,gmail.users.settings.getLanguage,,,,,,https://mail.google.com/ gmail.modify gmail.readonly gmail.settings.basic,https://www.googleapis.com/auth/gmail.readonly,"Gets language settings. For more information, see [Manage language settings](https://developers.google.com/workspace/gmail/api/guides/language-settings)."
gmail,users.settings,getPop,GET,gmail/v1/users/{userId}/settings/pop,gmail.users.settings.getPop,,,,,,https://mail.google.com/ gmail.modify gmail.readonly gmail.settings.basic,https://www.googleapis.com/auth/gmail.readonly,"Gets POP settings. For more information, see [Configure POP and IMAP settings with the Gmail API](https://developers.google.com/workspace/gmail/api/guides/pop_imap_settings)."
gmail,users.settings,getVacation,GET,gmail/v1/users/{userId}/settings/vacation,gmail.users.settings.getVacation,,,,,,https://mail.google.com/ gmail.modify gmail.readonly gmail.settings.basic,https://www.googleapis.com/auth/gmail.readonly,"Gets vacation responder settings. For more information, see [Manage vacation settings with the Gmail API](https://developers.google.com/workspace/gmail/api/guides/vacation_settings)."
gmail,users.settings,updateAutoForwarding,PUT,gmail/v1/users/{userId}/settings/autoForwarding,gmail.users.settings.updateAutoForwarding,yes,,,,,gmail.settings.sharing,https://www.googleapis.com/auth/gmail.settings.sharing,"Updates the auto-forwarding setting for the specified account. A verified forwarding address must be specified when auto-forwarding is enabled. For more information, see [Manage email forwarding](https://developers.google.com/workspace/gmail/api/guides/forwarding_settings). This method is only avail"
gmail,users.settings,updateImap,PUT,gmail/v1/users/{userId}/settings/imap,gmail.users.settings.updateImap,yes,,,,,gmail.settings.basic,https://www.googleapis.com/auth/gmail.settings.basic,"Updates IMAP settings. For more information, see [Configure POP and IMAP settings with the Gmail API](https://developers.google.com/workspace/gmail/api/guides/pop_imap_settings)."
